,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,22.117,2.469,-0.598,9.345,,,,,,
,,22.137,2.479,-0.598,9.288,,,,,,
,,22.157,2.488,-0.565,9.278,,,,,,
,,22.178,2.522,-0.498,9.365,,,,,,
,,22.198,2.546,-0.435,9.321,,,,,,
,,22.218,2.565,-0.412,9.235,,,,,,
,,22.239,2.675,-0.421,9.149,,,,,,
,,22.259,2.665,-0.445,9.140,,,,,,
,,22.280,2.675,-0.368,9.149,,,,,,
,,22.300,2.862,-0.325,9.010,,,,,,
,,22.320,2.972,-0.345,9.030,,,,,,
,,22.341,3.015,-0.273,9.125,,,,,,
,,22.361,3.144,-0.306,9.087,,,,,,
,,22.381,3.244,-0.368,9.030,,,,,,
,,22.402,3.273,-0.249,9.020,,,,,,
,,22.422,3.230,-0.273,9.082,,,,,,
,,22.443,3.263,-0.345,9.082,,,,,,
,,22.463,3.340,-0.230,9.207,,,,,,
,,22.483,3.263,-0.206,9.369,,,,,,
,,22.504,3.263,-0.225,9.321,,,,,,
,,22.524,3.326,-0.249,9.293,,,,,,
,,22.544,3.240,-0.292,9.202,,,,,,
,,22.565,3.196,-0.292,8.963,,,,,,
,,22.585,3.206,-0.412,8.910,,,,,,
,,22.605,3.187,-0.507,8.977,,,,,,
,,22.626,3.134,-0.574,8.996,,,,,,
,,22.646,3.015,-0.718,8.996,,,,,,
,,22.667,3.024,-0.751,8.977,,,,,,
,,22.687,3.067,-0.703,8.967,,,,,,
,,22.707,2.957,-0.694,9.049,,,,,,
,,22.728,2.881,-0.761,9.173,,,,,,
,,22.748,2.847,-0.780,9.235,,,,,,
,,22.768,2.795,-0.703,9.288,,,,,,
,,22.789,2.728,-0.708,9.293,,,,,,
,,22.809,2.598,-0.794,9.202,,,,,,
,,22.829,2.589,-0.837,9.235,,,,,,
,,22.850,2.613,-0.837,9.336,,,,,,
,,22.870,2.536,-0.785,9.302,,,,,,
,,22.891,2.565,-0.746,9.245,,,,,,
,,22.911,2.608,-0.751,9.269,,,,,,
,,22.931,2.503,-0.703,9.302,,,,,,
,,22.952,2.522,-0.641,9.269,,,,,,
,,22.972,2.546,-0.617,9.278,,,,,,
,,22.992,2.555,-0.507,9.312,,,,,,
,,23.013,2.651,-0.421,9.259,,,,,,
,,23.033,2.608,-0.402,9.192,,,,,,
,,23.053,2.613,-0.316,9.192,,,,,,
,,23.074,2.795,-0.239,9.202,,,,,,
,,23.094,2.785,-0.239,9.173,,,,,,
,,23.114,2.804,-0.230,9.097,,,,,,
,,23.135,2.972,-0.258,9.020,,,,,,
,,23.155,2.981,-0.306,8.953,,,,,,
,,23.176,3.015,-0.306,9.010,,,,,,
,,23.196,3.120,-0.258,8.953,,,,,,
,,23.216,3.168,-0.249,8.929,,,,,,
,,23.237,3.297,-0.273,9.173,,,,,,
,,23.257,3.283,-0.196,9.149,,,,,,
,,23.277,3.240,-0.225,9.054,,,,,,
,,23.298,3.307,-0.268,9.149,,,,,,
,,23.318,3.254,-0.239,9.245,,,,,,
,,23.338,3.153,-0.282,9.379,,,,,,
,,23.359,3.091,-0.282,9.345,,,,,,
,,23.379,3.048,-0.306,9.321,,,,,,
,,23.400,3.120,-0.469,9.412,,,,,,
,,23.420,3.125,-0.546,9.355,,,,,,
,,23.440,3.015,-0.589,9.345,,,,,,
,,23.461,2.929,-0.684,9.412,,,,,,
,,23.481,2.914,-0.751,9.336,,,,,,
,,23.501,2.871,-0.785,9.269,,,,,,
,,23.522,2.852,-0.751,9.259,,,,,,
,,23.542,2.914,-0.737,9.226,,,,,,
,,23.562,2.862,-0.770,9.226,,,,,,
,,23.583,2.708,-0.708,9.202,,,,,,
,,23.603,2.728,-0.718,9.168,,,,,,
,,23.624,2.732,-0.804,9.192,,,,,,
,,23.644,2.632,-0.785,9.202,,,,,,
,,23.664,2.570,-0.751,9.207,,,,,,
,,23.685,2.531,-0.746,9.207,,,,,,
,,23.705,2.570,-0.761,9.202,,,,,,
,,23.725,2.622,-0.780,9.202,,,,,,
,,23.746,2.579,-0.708,9.207,,,,,,
,,23.766,2.555,-0.627,9.250,,,,,,
,,23.787,2.579,-0.546,9.192,,,,,,
,,23.807,2.598,-0.464,9.245,,,,,,
,,23.827,2.613,-0.388,9.293,,,,,,
,,23.848,2.689,-0.349,9.173,,,,,,
,,23.868,2.751,-0.359,9.106,,,,,,
,,23.888,2.795,-0.392,9.063,,,,,,
,,23.909,2.804,-0.359,9.097,,,,,,
,,23.929,2.785,-0.268,9.226,,,,,,
,,23.949,2.871,-0.273,9.250,,,,,,
,,23.970,3.134,-0.249,9.106,,,,,,
,,23.990,3.187,-0.163,9.245,,,,,,
,,24.011,3.015,-0.215,9.369,,,,,,
,,24.031,3.144,-0.258,9.054,,,,,,
,,24.051,3.326,-0.187,8.987,,,,,,
,,24.072,3.240,-0.196,9.250,,,,,,
,,24.092,3.153,-0.292,9.355,,,,,,
,,24.112,3.240,-0.359,9.192,,,,,,
,,24.133,3.263,-0.402,8.977,,,,,,
,,24.153,3.177,-0.359,9.010,,,,,,
,,24.173,3.273,-0.292,9.159,,,,,,
,,24.194,3.287,-0.388,9.192,,,,,,
,,24.214,3.244,-0.445,9.269,,,,,,
,,24.235,3.230,-0.632,9.365,,,,,,
,,24.255,2.991,-1.034,9.278,,,,,,
,,24.275,3.177,-0.828,9.235,,,,,,
,,24.296,3.220,-0.531,9.183,,,,,,
,,24.316,2.479,-0.541,9.049,,,,,,
,,24.336,2.196,-0.053,9.082,,,,,,
,,24.357,2.326,0.675,9.149,,,,,,
,,24.377,2.512,1.086,9.183,,,,,,
,,24.398,2.512,1.206,9.226,,,,,,
,,24.418,1.727,1.349,9.278,,,,,,
,,24.438,0.804,1.503,9.293,,,,,,
,,24.459,0.359,1.483,9.235,,,,,,
,,24.479,0.177,1.479,9.202,,,,,,
,,24.499,0.067,1.512,9.269,,,,,,
,,24.520,0.144,1.349,9.250,,,,,,
,,24.540,0.325,0.665,9.125,,,,,,
,,24.560,0.383,-0.110,9.207,,,,,,
,,24.581,0.306,-0.598,9.321,,,,,,
,,24.601,0.077,-1.139,9.250,,,,,,
,,24.622,-0.139,-1.541,9.159,,,,,,
,,24.642,-0.110,-1.574,9.116,,,,,,
,,24.662,-0.053,-1.345,9.149,,,,,,
,,24.683,0.019,-0.986,9.278,,,,,,
,,24.703,0.196,-0.617,9.312,,,,,,
,,24.723,0.292,-0.368,9.250,,,,,,
,,24.744,0.196,-0.268,9.235,,,,,,
,,24.764,0.057,-0.239,9.226,,,,,,
,,24.785,-0.033,-0.402,9.245,,,,,,
,,24.805,-0.024,-0.608,9.183,,,,,,
,,24.825,0.019,-0.694,9.192,,,,,,
,,24.846,-0.010,-0.651,9.259,,,,,,
,,24.866,0.043,-0.608,9.245,,,,,,
,,24.886,0.215,-0.498,9.288,,,,,,
,,24.907,0.230,-0.349,9.269,,,,,,
,,24.927,0.100,-0.392,9.173,,,,,,
,,24.947,0.019,-0.445,9.245,,,,,,
,,24.968,0.019,-0.469,9.293,,,,,,
,,24.988,0.024,-0.608,9.173,,,,,,
,,25.009,0.077,-0.675,9.116,,,,,,
,,25.029,0.177,-0.708,9.140,,,,,,
,,25.049,0.163,-0.761,9.168,,,,,,
,,25.070,0.067,-0.684,9.202,,,,,,
,,25.090,-0.019,-0.531,9.245,,,,,,
,,25.110,-0.043,-0.479,9.235,,,,,,
,,25.131,0.057,-0.498,9.202,,,,,,
,,25.151,0.196,-0.488,9.259,,,,,,
,,25.171,0.196,-0.464,9.259,,,,,,
,,25.192,0.153,-0.488,9.173,,,,,,
,,25.212,0.129,-0.565,9.235,,,,,,
,,25.233,0.129,-0.546,9.326,,,,,,
,,25.253,0.019,-0.531,9.250,,,,,,
,,25.273,-0.057,-0.651,9.183,,,,,,
,,25.294,0.043,-0.708,9.278,,,,,,
,,25.314,0.053,-0.708,9.293,,,,,,
,,25.334,0.100,-0.694,9.245,,,,,,
,,25.355,0.153,-0.522,9.140,,,,,,
,,25.375,0.067,-0.435,9.097,,,,,,
,,25.395,0.096,-0.469,9.192,,,,,,
,,25.416,0.139,-0.455,9.192,,,,,,
,,25.436,0.100,-0.455,9.245,,,,,,
,,25.457,0.110,-0.455,9.321,,,,,,
,,25.477,0.144,-0.565,9.250,,,,,,
,,25.497,0.129,-0.665,9.168,,,,,,
,,25.518,0.067,-0.546,9.168,,,,,,
,,25.538,0.043,-0.555,9.250,,,,,,
,,25.558,0.067,-0.684,9.293,,,,,,
,,25.579,0.120,-0.608,9.207,,,,,,
,,25.599,0.129,-0.522,9.173,,,,,,
,,25.619,0.120,-0.507,9.245,,,,,,
,,25.640,0.096,-0.479,9.288,,,,,,
,,25.660,0.043,-0.464,9.245,,,,,,
,,25.681,0.067,-0.412,9.106,,,,,,
,,25.701,0.110,-0.469,9.125,,,,,,
,,25.721,0.077,-0.608,9.235,,,,,,
,,25.742,0.077,-0.632,9.245,,,,,,
,,25.762,0.100,-0.627,9.288,,,,,,
,,25.782,0.019,-0.617,9.293,,,,,,
,,25.803,0.057,-0.584,9.216,,,,,,
,,25.823,0.129,-0.541,9.250,,,,,,
,,25.843,0.053,-0.507,9.293,,,,,,
,,25.864,0.077,-0.488,9.269,,,,,,
,,25.884,0.144,-0.469,9.302,,,,,,
,,25.905,0.129,-0.531,9.259,,,,,,
,,25.925,0.096,-0.574,9.202,,,,,,
,,25.945,0.086,-0.522,9.235,,,,,,
,,25.966,0.120,-0.546,9.216,,,,,,
,,25.986,0.086,-0.651,9.202,,,,,,
,,26.006,0.000,-0.632,9.202,,,,,,
,,26.027,0.067,-0.541,9.159,,,,,,
,,26.047,0.120,-0.555,9.259,,,,,,
,,26.068,0.067,-0.589,9.326,,,,,,
,,26.088,0.033,-0.507,9.259,,,,,,
,,26.108,0.057,-0.426,9.207,,,,,,
,,26.129,0.110,-0.426,9.202,,,,,,
,,26.149,0.100,-0.479,9.245,,,,,,
,,26.169,0.120,-0.555,9.288,,,,,,
,,26.190,0.120,-0.584,9.250,,,,,,
,,26.210,0.067,-0.531,9.173,,,,,,
,,26.230,0.144,-0.589,9.269,,,,,,
,,26.251,0.120,-0.737,9.369,,,,,,
,,26.271,0.024,-0.675,9.226,,,,,,
,,26.292,0.086,-0.512,9.130,,,,,,
,,26.312,0.172,-0.531,9.288,,,,,,
,,26.332,0.086,-0.589,9.326,,,,,,
,,26.353,-0.057,-0.507,9.159,,,,,,
,,26.373,0.024,-0.455,9.168,,,,,,
,,26.393,0.100,-0.574,9.259,,,,,,
,,26.414,0.086,-0.608,9.245,,,,,,
,,26.434,0.100,-0.531,9.235,,,,,,
,,26.454,0.053,-0.565,9.216,,,,,,
,,26.475,0.043,-0.627,9.216,,,,,,
,,26.495,0.086,-0.589,9.235,,,,,,
,,26.516,0.096,-0.608,9.278,,,,,,
,,26.536,0.057,-0.665,9.269,,,,,,
,,26.556,0.077,-0.584,9.159,,,,,,
,,26.577,0.129,-0.488,9.130,,,,,,
,,26.597,0.100,-0.522,9.235,,,,,,
,,26.617,0.120,-0.565,9.250,,,,,,
,,26.638,0.120,-0.512,9.192,,,,,,
,,26.658,0.057,-0.522,9.168,,,,,,
,,26.678,0.057,-0.574,9.192,,,,,,
,,26.699,0.100,-0.565,9.216,,,,,,
,,26.719,0.086,-0.541,9.259,,,,,,
,,26.740,0.077,-0.574,9.269,,,,,,
,,26.760,0.100,-0.617,9.216,,,,,,
,,26.780,0.120,-0.565,9.216,,,,,,
,,26.801,0.077,-0.522,9.269,,,,,,
,,26.821,0.019,-0.565,9.226,,,,,,
,,26.841,0.057,-0.512,9.259,,,,,,
,,26.862,0.100,-0.507,9.326,,,,,,
,,26.882,0.086,-0.598,9.269,,,,,,
,,26.902,0.096,-0.641,9.259,,,,,,
,,26.923,0.057,-0.632,9.245,,,,,,
,,26.943,-0.024,-0.574,9.173,,,,,,
,,26.964,0.053,-0.507,9.250,,,,,,
,,26.984,0.172,-0.584,9.259,,,,,,
,,27.004,0.057,-0.627,9.216,,,,,,
,,27.025,-0.043,-0.541,9.226,,,,,,
,,27.045,0.096,-0.512,9.207,,,,,,
,,27.065,0.139,-0.531,9.202,,,,,,
,,27.086,0.086,-0.488,9.183,,,,,,
,,27.106,0.057,-0.464,9.235,,,,,,
,,27.126,0.019,-0.464,9.245,,,,,,
,,27.147,0.024,-0.541,9.216,,,,,,
,,27.167,0.057,-0.555,9.288,,,,,,
,,27.188,0.067,-0.584,9.245,,,,,,
,,27.208,0.096,-0.651,9.192,,,,,,
,,27.228,0.000,-0.507,9.168,,,,,,
,,27.249,-0.043,-0.402,9.087,,,,,,
,,27.269,0.096,-0.522,9.235,,,,,,
,,27.289,0.110,-0.555,9.269,,,,,,
,,27.310,0.100,-0.488,9.116,,,,,,
,,27.330,0.129,-0.546,9.192,,,,,,
,,27.350,0.096,-0.608,9.278,,,,,,
,,27.371,0.077,-0.589,9.278,,,,,,
,,27.391,0.086,-0.589,9.250,,,,,,
,,27.412,0.086,-0.608,9.235,,,,,,
,,27.432,0.067,-0.574,9.259,,,,,,
,,27.452,0.086,-0.555,9.207,,,,,,
,,27.473,0.077,-0.541,9.259,,,,,,
,,27.493,0.033,-0.541,9.269,,,,,,
,,27.513,0.033,-0.589,9.125,,,,,,
,,27.534,0.053,-0.541,9.159,,,,,,
,,27.554,0.086,-0.455,9.250,,,,,,
,,27.575,0.067,-0.541,9.259,,,,,,
,,27.595,0.019,-0.632,9.168,,,,,,
,,27.615,0.086,-0.546,9.039,,,,,,
,,27.636,0.120,-0.469,9.168,,,,,,
,,27.656,0.086,-0.541,9.259,,,,,,
,,27.676,0.096,-0.598,9.202,,,,,,
,,27.697,0.077,-0.565,9.226,,,,,,
,,27.717,0.067,-0.512,9.183,,,,,,
,,27.737,0.096,-0.541,9.183,,,,,,
,,27.758,0.086,-0.541,9.226,,,,,,
,,27.778,0.077,-0.507,9.250,,,,,,
,,27.799,0.033,-0.522,9.250,,,,,,
,,27.819,0.043,-0.546,9.269,,,,,,
,,27.839,0.096,-0.512,9.250,,,,,,
,,27.860,0.057,-0.512,9.125,,,,,,
,,27.880,0.057,-0.512,9.140,,,,,,
,,27.900,0.110,-0.488,9.278,,,,,,
,,27.921,0.086,-0.498,9.216,,,,,,
,,27.941,0.096,-0.522,9.097,,,,,,
,,27.961,0.139,-0.541,9.207,,,,,,
,,27.982,0.110,-0.555,9.288,,,,,,
,,28.002,0.053,-0.541,9.183,,,,,,
,,28.023,0.077,-0.512,9.207,,,,,,
,,28.043,0.096,-0.531,9.245,,,,,,
,,28.063,0.077,-0.608,9.168,,,,,,
,,28.084,0.067,-0.589,9.216,,,,,,
,,28.104,0.024,-0.512,9.288,,,,,,
,,28.124,0.053,-0.574,9.216,,,,,,
,,28.145,0.110,-0.632,9.173,,,,,,
,,28.165,0.120,-0.565,9.259,,,,,,
,,28.185,0.043,-0.531,9.278,,,,,,
,,28.206,0.019,-0.522,9.216,,,,,,
,,28.226,0.086,-0.541,9.288,,,,,,
,,28.247,0.077,-0.555,9.355,,,,,,
,,28.267,0.096,-0.546,9.278,,,,,,
,,28.287,0.129,-0.565,9.226,,,,,,
,,28.308,0.129,-0.531,9.235,,,,,,
,,28.328,0.096,-0.531,9.250,,,,,,
,,28.348,0.086,-0.555,9.288,,,,,,
,,28.369,0.100,-0.627,9.259,,,,,,
,,28.389,0.077,-0.665,9.250,,,,,,
,,28.409,0.110,-0.617,9.235,,,,,,
,,28.430,0.110,-0.541,9.192,,,,,,
,,28.450,0.043,-0.488,9.207,,,,,,
,,28.471,0.043,-0.479,9.183,,,,,,
,,28.491,0.077,-0.512,9.168,,,,,,
,,28.511,0.100,-0.522,9.278,,,,,,
,,28.532,0.100,-0.531,9.235,,,,,,
,,28.552,0.120,-0.546,9.159,,,,,,
,,28.572,0.100,-0.522,9.245,,,,,,
,,28.593,0.100,-0.546,9.235,,,,,,
,,28.613,0.100,-0.608,9.226,,,,,,
,,28.633,0.043,-0.598,9.235,,,,,,
,,28.654,0.067,-0.541,9.159,,,,,,
,,28.674,0.067,-0.546,9.192,,,,,,
,,28.695,0.019,-0.584,9.278,,,,,,
,,28.715,0.057,-0.555,9.250,,,,,,
,,28.735,0.086,-0.546,9.269,,,,,,
,,28.756,0.086,-0.531,9.321,,,,,,
,,28.776,0.024,-0.498,9.245,,,,,,
,,28.796,0.077,-0.555,9.183,,,,,,
,,28.817,0.110,-0.584,9.278,,,,,,
,,28.837,0.024,-0.522,9.302,,,,,,
,,28.858,0.086,-0.522,9.226,,,,,,
,,28.878,0.129,-0.608,9.278,,,,,,
,,28.898,0.077,-0.641,9.293,,,,,,
,,28.919,0.067,-0.565,9.207,,,,,,
,,28.939,0.110,-0.512,9.278,,,,,,
,,28.959,0.139,-0.522,9.345,,,,,,
,,28.980,0.086,-0.541,9.269,,,,,,
,,29.000,0.057,-0.555,9.183,,,,,,
,,29.020,0.096,-0.531,9.226,,,,,,
,,29.041,0.096,-0.512,9.245,,,,,,
,,29.061,0.120,-0.555,9.192,,,,,,
,,29.082,0.120,-0.574,9.288,,,,,,
,,29.102,0.053,-0.541,9.288,,,,,,
,,29.122,0.100,-0.565,9.183,,,,,,
,,29.143,0.086,-0.598,9.259,,,,,,
,,29.163,0.019,-0.546,9.278,,,,,,
,,29.183,0.100,-0.531,9.192,,,,,,
,,29.204,0.110,-0.555,9.192,,,,,,
,,29.224,0.086,-0.589,9.226,,,,,,
,,29.244,0.100,-0.531,9.183,,,,,,
,,29.265,0.096,-0.469,9.168,,,,,,
,,29.285,0.086,-0.565,9.250,,,,,,
,,29.306,0.024,-0.608,9.235,,,,,,
,,29.326,0.010,-0.541,9.245,,,,,,
,,29.346,0.033,-0.541,9.269,,,,,,
,,29.367,0.067,-0.574,9.149,,,,,,
,,29.387,0.096,-0.546,9.130,,,,,,
,,29.407,0.096,-0.541,9.259,,,,,,
,,29.428,0.110,-0.546,9.302,,,,,,
,,29.448,0.096,-0.541,9.245,,,,,,
,,29.468,0.086,-0.541,9.192,,,,,,
,,29.489,0.110,-0.546,9.269,,,,,,
,,29.509,0.096,-0.584,9.312,,,,,,
,,29.530,0.077,-0.522,9.216,,,,,,
,,29.550,0.086,-0.507,9.159,,,,,,
,,29.570,0.019,-0.584,9.202,,,,,,
,,29.591,-0.019,-0.512,9.202,,,,,,
,,29.611,0.043,-0.445,9.125,,,,,,
,,29.631,0.057,-0.512,9.173,,,,,,
,,29.652,0.057,-0.584,9.269,,,,,,
,,29.672,0.139,-0.608,9.302,,,,,,
,,29.692,0.110,-0.565,9.312,,,,,,
,,29.713,0.010,-0.531,9.250,,,,,,
,,29.733,0.086,-0.541,9.183,,,,,,
,,29.754,0.120,-0.522,9.202,,,,,,
,,29.774,0.096,-0.574,9.226,,,,,,
,,29.794,0.100,-0.617,9.250,,,,,,
,,29.815,0.086,-0.555,9.269,,,,,,
,,29.835,0.096,-0.574,9.278,,,,,,
,,29.855,0.100,-0.589,9.278,,,,,,
,,29.876,0.086,-0.546,9.245,,,,,,
,,29.896,0.100,-0.584,9.259,,,,,,
,,29.916,0.120,-0.546,9.278,,,,,,
,,29.937,0.067,-0.574,9.250,,,,,,
,,29.957,0.057,-0.608,9.226,,,,,,
,,29.978,0.120,-0.507,9.202,,,,,,
,,29.998,0.129,-0.512,9.250,,,,,,
,,30.018,0.129,-0.541,9.278,,,,,,
,,30.038,0.096,-0.512,9.269,,,,,,
,,30.059,0.053,-0.498,9.288,,,,,,
,,30.079,0.057,-0.522,9.259,,,,,,
,,30.100,0.010,-0.589,9.202,,,,,,
,,30.120,0.067,-0.574,9.183,,,,,,
,,30.140,0.096,-0.507,9.288,,,,,,
,,30.161,0.053,-0.522,9.288,,,,,,
,,30.181,0.100,-0.546,9.116,,,,,,
,,30.202,0.067,-0.531,9.288,,,,,,
,,30.222,0.100,-0.507,9.235,,,,,,
,,30.242,0.220,-0.464,8.800,,,,,,
,,30.263,0.163,-0.522,8.996,,,,,,
,,30.283,0.110,-0.541,9.259,,,,,,
,,30.303,0.139,-0.565,9.183,,,,,,
,,30.324,0.096,-0.632,9.226,,,,,,
,,30.344,0.077,-0.555,9.302,,,,,,
,,30.364,0.077,-0.574,9.245,,,,,,
,,30.385,0.077,-0.660,9.216,,,,,,
,,30.405,0.096,-0.555,9.302,,,,,,
,,30.425,0.086,-0.512,9.312,,,,,,
,,30.446,0.053,-0.546,9.288,,,,,,
,,30.466,0.077,-0.498,9.259,,,,,,
,,30.486,0.077,-0.507,9.245,,,,,,
,,30.507,0.033,-0.522,9.245,,,,,,
,,30.527,0.077,-0.531,9.250,,,,,,
,,30.547,0.086,-0.598,9.312,,,,,,
,,30.568,0.110,-0.507,9.168,,,,,,
,,30.588,0.043,-0.435,9.226,,,,,,
,,30.609,0.077,-0.694,9.293,,,,,,
,,30.629,0.579,-0.445,9.288,,,,,,
,,30.649,0.512,-0.062,9.704,,,,,,
,,30.670,0.086,-0.445,9.465,,,,,,
,,30.690,0.177,-0.675,9.140,,,,,,
,,30.710,0.120,-0.498,9.312,,,,,,
,,30.731,0.053,-0.488,9.326,,,,,,
,,30.751,0.349,-0.546,9.465,,,,,,
,,30.771,0.096,-0.402,9.398,,,,,,
,,30.792,0.459,-0.866,9.288,,,,,,
,,30.812,1.053,-1.239,9.446,,,,,,
,,30.833,0.010,-0.077,9.441,,,,,,
,,30.853,-0.479,-0.053,9.030,,,,,,
,,30.873,-0.282,-0.651,9.063,,,,,,
,,30.894,-0.077,-0.110,9.259,,,,,,
,,30.914,0.297,-0.488,8.929,,,,,,
,,30.934,0.153,-0.991,8.967,,,,,,
