,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,3.416,2.402,-0.206,9.235,,,,,,
,,3.436,2.426,-0.215,9.207,,,,,,
,,3.457,2.503,-0.316,9.140,,,,,,
,,3.477,2.522,-0.282,9.168,,,,,,
,,3.497,2.546,-0.239,9.125,,,,,,
,,3.518,2.665,-0.239,9.054,,,,,,
,,3.538,2.728,-0.215,9.130,,,,,,
,,3.558,2.699,-0.230,9.149,,,,,,
,,3.579,2.699,-0.139,9.140,,,,,,
,,3.599,2.589,-0.062,9.159,,,,,,
,,3.620,2.450,-0.206,9.116,,,,,,
,,3.640,2.450,-0.359,9.125,,,,,,
,,3.660,2.503,-0.435,9.149,,,,,,
,,3.681,2.570,-0.507,9.173,,,,,,
,,3.701,2.598,-0.617,9.183,,,,,,
,,3.721,2.555,-0.660,9.063,,,,,,
,,3.742,2.512,-0.632,9.097,,,,,,
,,3.762,2.536,-0.675,9.216,,,,,,
,,3.783,2.488,-0.718,9.173,,,,,,
,,3.803,2.350,-0.651,9.106,,,,,,
,,3.823,2.373,-0.641,9.097,,,,,,
,,3.844,2.417,-0.627,9.168,,,,,,
,,3.864,2.249,-0.584,9.207,,,,,,
,,3.884,2.153,-0.660,9.159,,,,,,
,,3.905,2.230,-0.746,9.140,,,,,,
,,3.925,2.230,-0.770,9.216,,,,,,
,,3.946,2.196,-0.828,9.226,,,,,,
,,3.966,2.134,-0.751,9.226,,,,,,
,,3.986,2.144,-0.660,9.168,,,,,,
,,4.007,2.187,-0.708,9.082,,,,,,
,,4.027,2.058,-0.627,9.183,,,,,,
,,4.047,2.053,-0.512,9.202,,,,,,
,,4.068,2.144,-0.546,9.082,,,,,,
,,4.088,2.077,-0.507,9.173,,,,,,
,,4.109,2.053,-0.402,9.245,,,,,,
,,4.129,2.101,-0.349,9.097,,,,,,
,,4.149,2.086,-0.301,9.097,,,,,,
,,4.170,2.086,-0.325,9.173,,,,,,
,,4.190,2.220,-0.368,9.159,,,,,,
,,4.210,2.283,-0.282,9.226,,,,,,
,,4.231,2.163,-0.148,9.226,,,,,,
,,4.251,2.196,-0.105,9.183,,,,,,
,,4.271,2.393,-0.148,9.207,,,,,,
,,4.292,2.359,-0.120,9.192,,,,,,
,,4.312,2.283,-0.153,9.183,,,,,,
,,4.333,2.479,-0.268,9.168,,,,,,
