Auto,Run #3
Time (s),Angular Velocity (rad/s)
14.325,-10.239
14.35,-10.123
14.375,-10.123
14.4,-10.123
14.425,-10.007
14.45,-9.89
14.475,-9.774
14.5,-9.774
14.525,-9.774
14.55,-9.774
14.575,-9.774
14.6,-9.774
14.625,-9.657
14.65,-9.541
14.675,-9.541
14.7,-9.541
14.725,-9.541
14.75,-9.425
14.775,-9.308
14.8,-9.308
14.825,-9.308
14.85,-9.308
14.875,-9.192
14.9,-9.076
14.925,-9.076
14.95,-9.076
14.975,-9.076
15,-8.959
15.025,-8.843
15.05,-8.843
15.075,-8.843
15.1,-8.843
15.125,-8.727
15.15,-8.61
15.175,-8.61
15.2,-8.61
15.225,-8.61
15.25,-8.494
15.275,-8.378
15.3,-8.378
15.325,-8.378
15.35,-8.378
15.375,-8.378
15.4,-8.378
15.425,-8.378
15.45,-8.261
15.475,-8.145
15.5,-8.029
15.525,-8.029
15.55,-8.029
15.575,-8.029
15.6,-8.029
15.625,-7.912
15.65,-7.796
15.675,-7.796
15.7,-7.912
15.725,-7.912
15.75,-7.796
15.775,-7.679
15.8,-7.679
15.825,-7.563
15.85,-7.447
15.875,-7.447
15.9,-7.447
15.925,-7.447
15.95,-7.447
15.975,-7.447
16,-7.33
16.025,-7.214
16.05,-7.214
16.075,-7.214
16.1,-7.214
16.125,-7.214
16.15,-7.214
16.175,-7.098
16.2,-6.981
16.225,-6.981
16.25,-6.981
16.275,-6.981
16.3,-6.981
16.325,-6.981
16.35,-6.865
16.375,-6.749
16.4,-6.749
16.425,-6.749
16.45,-6.749
16.475,-6.632
16.5,-6.632
16.525,-6.632
16.55,-6.632
16.575,-6.632
16.6,-6.516
16.625,-6.4
16.65,-6.283
16.675,-6.283
16.7,-6.283
16.725,-6.283
16.75,-6.283
16.775,-6.283
16.8,-6.283
16.825,-6.283
16.85,-6.283
16.875,-6.167
16.9,-6.05
16.925,-6.05
16.95,-6.05
16.975,-6.05
17,-5.934
17.025,-5.934
17.05,-5.934
17.075,-5.934
17.1,-5.934
17.125,-5.818
17.15,-5.701
17.175,-5.701
17.2,-5.818
17.225,-5.818
17.25,-5.701
17.275,-5.585
17.3,-5.585
17.325,-5.585
17.35,-5.585
17.375,-5.585
17.4,-5.585
17.425,-5.469
17.45,-5.352
17.475,-5.352
17.5,-5.352
17.525,-5.352
17.55,-5.352
17.575,-5.352
17.6,-5.352
17.625,-5.236
17.65,-5.12
17.675,-5.12
17.7,-5.12
17.725,-5.12
17.75,-5.003
17.775,-5.003
17.8,-5.12
17.825,-5.12
17.85,-5.003
17.875,-4.887
17.9,-4.887
17.925,-4.887
17.95,-4.887
17.975,-4.771
18,-4.654
18.025,-4.654
18.05,-4.771
18.075,-4.771
18.1,-4.654
18.125,-4.654
18.15,-4.654
18.175,-4.654
18.2,-4.538
18.225,-4.538
18.25,-4.538
18.275,-4.538
18.3,-4.538
18.325,-4.538
18.35,-4.538
18.375,-4.422
18.4,-4.305
18.425,-4.305
18.45,-4.422
18.475,-4.422
18.5,-4.305
18.525,-4.189
18.55,-4.189
18.575,-4.189
18.6,-4.189
18.625,-4.189
18.65,-4.189
18.675,-4.189
18.7,-4.189
18.725,-4.072
18.75,-3.956
18.775,-3.956
18.8,-4.072
18.825,-4.072
18.85,-3.956
18.875,-3.84
18.9,-3.84
18.925,-3.84
18.95,-3.84
18.975,-3.84
19,-3.723
19.025,-3.723
19.05,-3.723
19.075,-3.723
19.1,-3.607
19.125,-3.607
19.15,-3.723
19.175,-3.723
19.2,-3.607
19.225,-3.491
19.25,-3.491
19.275,-3.491
19.3,-3.491
19.325,-3.491
19.35,-3.491
19.375,-3.374
19.4,-3.258
19.425,-3.258
19.45,-3.374
19.475,-3.374
19.5,-3.258
19.525,-3.258
19.55,-3.258
19.575,-3.258
19.6,-3.142
19.625,-3.142
19.65,-3.142
19.675,-3.142
19.7,-3.142
19.725,-3.025
19.75,-3.025
19.775,-3.025
19.8,-3.025
19.825,-2.909
19.85,-2.909
19.875,-3.025
19.9,-3.025
19.925,-2.909
19.95,-2.793
19.975,-2.793
20,-2.793
20.025,-2.793
20.05,-2.793
20.075,-2.793
20.1,-2.793
20.125,-2.793
20.15,-2.793
20.175,-2.676
20.2,-2.56
20.225,-2.56
20.25,-2.56
20.275,-2.56
20.3,-2.56
20.325,-2.56
20.35,-2.56
20.375,-2.443
20.4,-2.443
20.425,-2.443
20.45,-2.327
20.475,-2.327
20.5,-2.327
20.525,-2.327
20.55,-2.211
20.575,-2.211
20.6,-2.327
20.625,-2.327
20.65,-2.211
20.675,-2.094
20.7,-2.094
20.725,-2.094
20.75,-2.094
20.775,-2.094
20.8,-2.094
20.825,-1.978
20.85,-1.862
20.875,-1.862
20.9,-1.978
20.925,-1.978
20.95,-1.862
20.975,-1.745
21,-1.745
21.025,-1.862
21.05,-1.862
21.075,-1.862
21.1,-1.745
21.125,-1.629
21.15,-1.629
21.175,-1.629
21.2,-1.629
21.225,-1.513
21.25,-1.513
21.275,-1.629
21.3,-1.629
21.325,-1.513
21.35,-1.396
21.375,-1.396
21.4,-1.396
21.425,-1.396
21.45,-1.396
21.475,-1.396
21.5,-1.396
21.525,-1.28
21.55,-1.164
21.575,-1.164
21.6,-1.28
21.625,-1.28
21.65,-1.164
21.675,-1.164
21.7,-1.164
21.725,-1.164
21.75,-1.047
21.775,-0.931
21.8,-0.931
21.825,-0.931
21.85,-1.047
21.875,-1.047
21.9,-0.931
21.925,-0.814
21.95,-0.814
21.975,-0.931
22,-0.931
22.025,-0.814
22.05,-0.698
22.075,-0.698
22.1,-0.698
22.125,-0.698
22.15,-0.698
22.175,-0.698
22.2,-0.698
22.225,-0.582
22.25,-0.465
22.275,-0.465
22.3,-0.582
22.325,-0.582
22.35,-0.465
22.375,-0.465
22.4,-0.465
22.425,-0.465
22.45,-0.349
22.475,-0.349
22.5,-0.349
22.525,-0.349
22.55,-0.349
22.575,-0.233
22.6,-0.233
22.625,-0.233
22.65,-0.233
22.675,-0.116
22.7,-0.116
22.725,-0.233
22.75,-0.233
22.775,-0.116
22.8,0
22.825,0
22.85,0
22.875,0
22.9,0
22.925,0
22.95,0
22.975,0
23,0
23.025,0
23.05,0
