Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
1/20/2020,2:59:28 PM,4.60,0.14,-0.9,1.05
1/20/2020,2:59:28 PM,4.70,0.14,-0.9,1.05
1/20/2020,2:59:28 PM,4.80,0.14,-0.9,1.04
1/20/2020,2:59:28 PM,4.90,0.14,-0.91,1.05
1/20/2020,2:59:28 PM,5.00,0.15,-0.91,1.05
1/20/2020,2:59:28 PM,5.10,0.15,-0.9,1.05
1/20/2020,2:59:28 PM,5.20,0.14,-0.9,1.05
1/20/2020,2:59:29 PM,5.30,0.14,-0.89,1.05
1/20/2020,2:59:29 PM,5.40,0.14,-0.9,1.05
1/20/2020,2:59:29 PM,5.50,0.14,-0.9,1.05
1/20/2020,2:59:29 PM,5.60,0.14,-0.9,1.05
1/20/2020,2:59:29 PM,5.70,0.15,-0.91,1.05
1/20/2020,2:59:29 PM,5.80,0.15,-0.9,1.05
1/20/2020,2:59:29 PM,5.90,0.15,-0.9,1.04
1/20/2020,2:59:29 PM,6.00,0.14,-0.89,1.05
1/20/2020,2:59:29 PM,6.10,0.14,-0.9,1.05
1/20/2020,2:59:29 PM,6.20,0.14,-0.9,1.05
1/20/2020,2:59:30 PM,6.30,0.14,-0.9,1.05
1/20/2020,2:59:30 PM,6.40,0.14,-0.91,1.05
1/20/2020,2:59:30 PM,6.50,0.15,-0.91,1.05
1/20/2020,2:59:30 PM,6.60,0.15,-0.9,1.05
1/20/2020,2:59:30 PM,6.70,0.15,-0.9,1.05
1/20/2020,2:59:30 PM,6.80,0.14,-0.89,1.05
1/20/2020,2:59:30 PM,6.90,0.14,-0.9,1.05
1/20/2020,2:59:30 PM,7.00,0.14,-0.9,1.05
1/20/2020,2:59:30 PM,7.10,0.14,-0.9,1.04
1/20/2020,2:59:30 PM,7.20,0.14,-0.91,1.05
1/20/2020,2:59:31 PM,7.30,0.15,-0.9,1.05
1/20/2020,2:59:31 PM,7.40,0.15,-0.9,1.05
1/20/2020,2:59:31 PM,7.50,0.14,-0.89,1.05
1/20/2020,2:59:31 PM,7.60,0.14,-0.89,1.05
1/20/2020,2:59:31 PM,7.70,0.14,-0.9,1.04
1/20/2020,2:59:31 PM,7.80,0.14,-0.9,1.05
1/20/2020,2:59:31 PM,7.90,0.14,-0.91,1.05
1/20/2020,2:59:31 PM,8.00,0.15,-0.91,1.05
1/20/2020,2:59:31 PM,8.10,0.15,-0.9,1.05
1/20/2020,2:59:31 PM,8.20,0.15,-0.9,1.05
1/20/2020,2:59:32 PM,8.30,0.15,-0.89,1.04
1/20/2020,2:59:32 PM,8.40,0.14,-0.89,1.05
1/20/2020,2:59:32 PM,8.50,0.14,-0.9,1.05
1/20/2020,2:59:32 PM,8.60,0.14,-0.9,1.05
1/20/2020,2:59:32 PM,8.70,0.15,-0.91,1.05
1/20/2020,2:59:32 PM,8.80,0.15,-0.91,1.05
1/20/2020,2:59:32 PM,8.90,0.15,-0.9,1.05
1/20/2020,2:59:32 PM,9.00,0.15,-0.89,1.05
1/20/2020,2:59:32 PM,9.10,0.14,-0.89,1.05
1/20/2020,2:59:32 PM,9.20,0.14,-0.9,1.05
1/20/2020,2:59:33 PM,9.30,0.14,-0.9,1.05
1/20/2020,2:59:33 PM,9.40,0.14,-0.91,1.05
1/20/2020,2:59:33 PM,9.50,0.15,-0.91,1.05
1/20/2020,2:59:33 PM,9.60,0.15,-0.9,1.05
1/20/2020,2:59:33 PM,9.70,0.15,-0.9,1.05
1/20/2020,2:59:33 PM,9.80,0.15,-0.89,1.04
1/20/2020,2:59:33 PM,9.90,0.14,-0.89,1.05
1/20/2020,2:59:33 PM,10.00,0.14,-0.9,1.05
1/20/2020,2:59:33 PM,10.10,0.14,-0.9,1.05
1/20/2020,2:59:33 PM,10.20,0.14,-0.91,1.05
