Auto,Run #15
Time (s),Angular Velocity (rad/s)
33.6,3.258
33.65,2.618
33.7,1.978
33.75,1.338
33.8,0.64
33.85,-0.058
33.9,-0.465
33.95,-0.465
34,-0.175
34.05,0.116
34.1,0.233
34.15,0.116
34.2,-0.116
34.25,-0.175
34.3,-0.058
34.35,0.116
34.4,0.175
34.45,0.058
34.5,-0.058
34.55,-0.116
34.6,-0.058
34.65,0.058
34.7,0.116
34.75,0.058
34.8,-0.058
34.85,-0.116
34.9,-0.058
34.95,0.058
35,0.116
35.05,0.058
35.1,-0.058
35.15,-0.116
35.2,-0.058
35.25,0.058
35.3,0.058
35.35,0
35.4,-0.058
35.45,-0.058
35.5,0
35.55,0
35.6,0
35.65,0
35.7,0
35.75,0
35.8,0
35.85,0
35.9,0
35.95,0
36,0
36.05,0
36.1,5.934
36.15,5.934
36.2,5.934
36.25,5.934
36.3,5.992
36.35,6.05
36.4,6.05
36.45,5.992
36.5,5.934
36.55,5.934
36.6,5.992
36.65,6.05
36.7,6.05
36.75,5.992
36.8,5.992
36.85,6.05
36.9,6.05
36.95,6.05
37,6.05
37.05,6.109
37.1,6.109
37.15,6.109
37.2,6.109
37.25,6.109
37.3,6.167
37.35,6.167
37.4,6.167
37.45,6.167
37.5,6.167
37.55,6.167
37.6,6.109
37.65,6.109
37.7,6.167
37.75,6.167
37.8,6.167
37.85,6.167
37.9,6.225
37.95,6.225
38,6.167
38.05,6.167
38.1,6.225
38.15,6.283
38.2,6.283
38.25,6.283
38.3,6.283
38.35,6.283
38.4,6.283
38.45,6.283
38.5,6.283
38.55,6.283
38.6,6.283
38.65,6.283
38.7,6.283
38.75,6.283
38.8,6.283
38.85,6.283
38.9,6.283
38.95,6.283
39,6.283
39.05,6.341
39.1,6.4
39.15,6.4
39.2,6.4
39.25,6.4
39.3,6.4
39.35,6.4
39.4,6.4
39.45,6.4
39.5,6.4
39.55,6.4
39.6,6.4
39.65,6.4
39.7,6.4
39.75,6.4
39.8,6.341
39.85,6.341
39.9,6.4
39.95,6.458
40,6.458
40.05,6.458
40.1,6.458
40.15,6.458
40.2,6.458
40.25,6.458
40.3,6.516
40.35,6.516
40.4,6.516
40.45,6.458
40.5,6.458
40.55,6.516
40.6,6.516
40.65,6.516
40.7,6.458
40.75,6.458
40.8,6.458
40.85,6.458
40.9,6.516
40.95,6.516
41,6.516
41.05,6.516
41.1,6.574
41.15,6.632
41.2,6.574
41.25,6.516
41.3,6.516
41.35,6.574
41.4,6.632
41.45,6.574
41.5,6.516
41.55,6.516
41.6,6.574
41.65,6.632
41.7,6.574
41.75,6.516
41.8,6.516
41.85,6.574
41.9,6.632
41.95,6.632
42,6.632
42.05,6.632
42.1,6.632
42.15,6.632
42.2,6.632
42.25,6.632
42.3,6.632
42.35,6.632
42.4,6.574
42.45,6.516
42.5,6.516
42.55,6.574
42.6,6.632
42.65,6.632
42.7,6.632
42.75,6.632
42.8,6.632
42.85,6.632
42.9,6.632
42.95,6.632
43,6.632
43.05,6.69
43.1,6.749
43.15,6.749
43.2,6.69
43.25,6.632
43.3,6.632
43.35,6.632
43.4,6.632
43.45,6.69
43.5,6.749
43.55,6.749
43.6,6.69
43.65,6.632
43.7,6.632
43.75,6.632
43.8,6.69
43.85,6.749
43.9,6.749
43.95,6.749
44,6.749
44.05,6.807
44.1,6.807
44.15,6.807
44.2,6.807
44.25,6.807
44.3,6.807
44.35,6.807
44.4,6.807
44.45,6.807
44.5,6.807
44.55,6.807
44.6,6.865
44.65,6.865
44.7,6.865
44.75,6.865
44.8,6.923
44.85,6.981
44.9,6.923
44.95,6.865
45,6.865
45.05,6.923
45.1,6.981
45.15,6.981
45.2,6.981
45.25,6.981
45.3,6.981
45.35,6.981
45.4,6.981
45.45,6.981
45.5,6.981
45.55,6.981
45.6,6.981
45.65,6.981
45.7,6.981
45.75,7.039
45.8,7.098
45.85,7.098
45.9,7.039
45.95,7.039
46,7.098
46.05,7.098
46.1,7.098
46.15,7.098
46.2,7.098
46.25,7.098
46.3,7.098
46.35,7.098
46.4,7.098
46.45,7.098
46.5,7.098
46.55,7.098
46.6,7.098
46.65,7.156
46.7,7.214
46.75,7.214
46.8,7.214
46.85,7.156
46.9,7.156
46.95,7.214
47,7.214
47.05,7.214
47.1,7.156
47.15,7.156
47.2,7.156
47.25,7.156
47.3,7.214
47.35,7.272
47.4,7.272
47.45,7.214
47.5,7.214
47.55,7.272
47.6,7.33
47.65,7.272
47.7,7.214
47.75,7.214
47.8,7.272
47.85,7.33
47.9,7.33
47.95,7.272
48,7.214
48.05,7.214
48.1,7.272
48.15,7.33
48.2,7.33
48.25,7.33
48.3,7.33
48.35,7.33
48.4,7.33
48.45,7.33
48.5,7.33
48.55,7.33
48.6,7.33
48.65,7.33
48.7,7.33
48.75,7.33
48.8,7.389
48.85,7.447
48.9,7.447
48.95,7.389
49,7.33
49.05,7.33
49.1,7.33
49.15,7.33
49.2,7.389
49.25,7.447
49.3,7.447
49.35,7.389
49.4,7.389
49.45,7.447
49.5,7.447
49.55,7.389
49.6,7.389
49.65,7.447
49.7,7.447
49.75,7.389
49.8,7.33
49.85,7.389
49.9,7.447
49.95,7.447
50,7.447
50.05,7.447
50.1,7.505
50.15,7.505
50.2,7.505
50.25,7.505
50.3,7.447
