Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
10.80, .407, -.019, 10.04
10.90, .69, .172, 10.05
11.00, 1.121, .268, 10.059
11.10, 1.399, .24, 10.026
11.20, .656, -.072, 10.054
11.30, .589, -.091, 10.05
11.40, .642, -.072, 10.05
11.50, 1.566, .225, 9.997
11.60, 1.586, .45, 10.016
11.70, 2.141, 1.092, 10.04
11.80, 1.02, 1.336, 10.011
11.90, -5.298, -2.314, 10.351
12.00, -4.369, -1.72, 10.346
12.10, 1.217, 1.432, 10.107
12.20, 3.133, 1.859, 9.973
12.30, 2.184, .527, 9.939
12.40, 2.146, .656, 10.064
12.50, 2.218, .934, 10.021
12.60, .929, 1.317, 10.102
12.70, -2.999, -.46, 10.155
12.80, .211, -.24, 10.069
12.90, -1.624, .182, 10.169
13.00, 2.366, 1.423, 9.944
13.10, 2.884, .872, 10.002
13.20, .57, -.101, 10.069
13.30, .546, -.115, 10.059
13.40, .575, -.067, 10.073
13.50, .608, -.077, 10.035
13.60, .742, -.014, 10.054
13.70, 1.744, .431, 9.992
13.80, 1.039, .283, 10.04
13.90, .728, .101, 9.939
14.00, 1.135, .383, 10.088
14.10, 1.365, .719, 10.035
14.20, -1.878, -.862, 10.059
14.30, .953, .278, 10.097
14.40, -.369, -.354, 10.088
14.50, .58, -.096, 10.05
14.60, .594, -.077, 10.059
14.70, .594, -.101, 10.059
14.80, .666, -.086, 10.064
14.90, .623, -.129, 10.064
15.00, .728, -.144, 10.04
15.10, 1.365, -.23, 9.992
15.20, 1.312, -.057, 10.035
15.30, 2.117, -.014, 9.935
15.40, 1.595, .316, 10.026
15.50, -1.48, .618, 10.203
15.60, -.762, .129, 10.141
15.70, .901, -.134, 10.045
15.80, .781, -.144, 10.045
15.90, .819, -.134, 10.054
16.00, .838, -.12, 10.035
16.10, .819, -.139, 10.054
16.20, .814, -.144, 10.04
16.30, -.369, .067, 10.112
16.40, -.972, .436, 10.174
16.50, 1.092, .752, 10.011
16.60, 3.2, -.043, 9.863
16.70, 2.213, -.398, 9.877
16.80, 2.831, -.077, 9.911
16.90, 1.576, .623, 10.002
17.00, -1.36, .92, 10.174
17.10, -.35, -.019, 10.088
17.20, .704, -.187, 10.03
17.30, .532, -.096, 10.059
17.40, .867, -.125, 10.035
17.50, .58, -.086, 10.059
17.60, .594, -.101, 10.05
17.70, .58, -.086, 10.05
17.80, .56, -.081, 10.035
17.90, .594, -.11, 10.05
18.00, .532, -.048, 10.045
18.10, .57, -.096, 10.064
18.20, .532, -.077, 10.054
18.30, .575, -.091, 10.069
18.40, .541, -.101, 10.054
18.50, .536, -.086, 10.064
18.60, .546, -.105, 10.059
18.70, .551, -.096, 10.064
