0.349,-0.054,-0.011,1.001
0.351,-0.046,-0.000,0.993
0.353,-0.043,-0.002,1.004
0.356,-0.057,-0.003,0.999
0.358,-0.075,-0.004,0.984
0.361,-0.107,0.008,1.010
0.363,-0.106,0.000,1.011
0.365,-0.117,-0.014,0.978
0.369,-0.123,-0.019,1.002
0.370,-0.122,-0.021,0.998
0.373,-0.221,-0.040,0.978
0.375,-0.237,-0.045,1.045
0.377,-0.221,-0.046,0.965
0.380,-0.208,-0.040,1.002
0.383,-0.225,-0.051,1.007
0.385,-0.210,-0.052,0.999
0.387,-0.184,-0.054,1.023
0.390,-0.181,-0.052,0.986
0.392,-0.156,-0.028,0.992
0.394,-0.126,-0.014,1.025
0.397,-0.124,-0.017,0.972
0.399,-0.129,-0.019,1.021
0.404,-0.140,-0.025,0.991
0.404,-0.134,-0.010,0.997
0.406,-0.114,-0.012,1.011
0.409,-0.117,-0.013,0.971
0.411,-0.105,-0.008,1.030
0.414,-0.130,-0.020,0.994
0.416,-0.101,-0.012,0.974
0.419,-0.081,-0.002,1.030
0.421,-0.077,-0.012,0.985
0.423,-0.063,-0.007,0.990
0.426,-0.064,-0.014,1.010
0.428,-0.061,-0.016,0.990
0.430,-0.055,-0.010,1.003
0.433,-0.048,-0.020,0.995
0.436,-0.051,-0.018,1.002
0.438,-0.061,-0.031,1.014
0.440,-0.062,-0.019,0.985
0.442,-0.045,-0.006,1.009
0.446,-0.057,-0.011,1.001
0.448,-0.084,-0.015,0.992
0.450,-0.084,-0.015,1.010
0.452,-0.069,-0.010,1.007
0.455,-0.078,-0.014,1.017
0.457,-0.071,-0.016,0.976
0.459,-0.093,-0.009,1.000
0.462,-0.071,0.001,1.020
0.464,-0.081,-0.004,1.007
0.467,-0.081,-0.004,0.975
0.470,-0.101,-0.012,1.016
0.471,-0.118,-0.020,0.986
0.474,-0.100,-0.006,0.975
0.476,-0.089,-0.006,1.037
0.480,-0.107,-0.015,0.980
0.482,-0.120,-0.009,0.993
0.483,-0.097,-0.005,1.008
0.486,-0.094,-0.006,0.991
0.488,-0.112,-0.009,1.005
0.491,-0.095,-0.008,0.996
0.493,-0.109,-0.009,1.006
0.496,-0.104,-0.012,0.990
0.498,-0.128,-0.023,1.027
0.500,-0.125,-0.018,1.001
0.504,-0.134,-0.011,0.990
0.505,-0.108,-0.010,1.020
0.507,-0.117,-0.022,0.999
0.510,-0.121,-0.024,0.961
0.512,-0.137,-0.025,1.032
0.515,-0.146,-0.041,0.985
0.520,-0.143,-0.050,1.013
0.520,-0.148,-0.040,1.029
0.522,-0.135,-0.030,0.936
0.524,-0.123,-0.017,0.998
0.527,-0.118,-0.019,1.057
0.529,-0.113,-0.023,0.932
0.532,-0.108,-0.028,1.051
0.534,-0.109,-0.025,0.968
0.537,-0.107,-0.021,1.011
0.539,-0.104,-0.025,1.031
0.541,-0.103,-0.024,0.945
0.544,-0.103,-0.027,1.032
0.546,-0.134,-0.044,1.012
0.549,-0.130,-0.039,0.965
0.551,-0.063,-0.009,1.003
0.553,-0.023,-0.005,1.041
0.556,-0.025,-0.016,1.006
0.561,-0.042,-0.024,0.944
0.561,-0.037,-0.028,1.033
0.563,-0.039,-0.031,1.001
0.565,-0.021,-0.021,1.009
0.568,0.003,-0.016,0.982
0.571,0.006,-0.007,0.964
0.573,0.013,-0.004,1.037
0.576,0.014,-0.002,1.015
0.577,-0.010,-0.012,0.981
0.580,-0.017,-0.015,1.008
0.582,-0.023,-0.014,0.989
0.585,-0.024,-0.012,0.985
0.587,-0.017,-0.003,1.028
0.589,-0.010,0.012,0.979
0.593,-0.027,0.005,0.962
0.594,-0.068,-0.000,1.038
0.597,-0.065,0.001,1.034
0.599,-0.075,-0.009,0.953
0.601,-0.089,-0.016,1.008
0.604,-0.103,-0.014,1.045
0.606,-0.103,-0.015,1.011
0.609,-0.110,-0.010,0.999
0.611,-0.122,0.002,1.029
0.613,-0.097,-0.011,0.972
0.616,-0.130,-0.027,0.963
0.618,-0.119,-0.034,0.988
0.621,-0.106,-0.019,1.034
0.623,-0.114,-0.022,0.998
0.627,-0.105,-0.012,0.983
0.628,-0.112,-0.016,0.980
0.630,-0.116,-0.021,0.994
0.633,-0.105,-0.012,1.068
0.635,-0.114,-0.014,0.998
0.638,-0.105,-0.013,0.961
0.640,-0.104,-0.010,0.968
0.642,-0.094,-0.016,0.976
0.645,-0.080,-0.007,1.046
0.647,-0.078,-0.009,0.994
0.650,-0.064,0.008,0.972
0.652,-0.108,-0.002,1.007
0.654,-0.121,-0.014,1.017
0.657,-0.091,-0.006,1.014
0.660,-0.137,-0.028,0.959
0.662,-0.127,-0.024,1.074
0.664,-0.157,-0.035,0.943
0.666,-0.135,-0.034,1.001
0.669,-0.138,-0.042,1.056
0.672,-0.136,-0.048,0.911
0.674,-0.105,-0.041,1.068
0.676,-0.116,-0.045,0.991
0.678,-0.122,-0.040,0.973
0.681,-0.088,-0.030,1.009
0.684,-0.088,-0.033,1.040
0.686,-0.109,-0.033,0.985
0.688,-0.086,-0.021,0.971
0.691,-0.090,-0.018,1.058
0.694,-0.106,-0.019,0.972
0.695,-0.099,-0.008,1.021
0.698,-0.094,-0.016,0.978
0.700,-0.087,-0.012,1.006
0.703,-0.063,0.003,1.056
0.705,-0.076,0.037,0.922
0.708,-0.027,0.035,1.091
0.710,-0.055,0.009,0.925
0.712,-0.021,0.010,1.015
0.715,-0.050,-0.005,1.016
0.717,-0.045,-0.004,0.972
0.720,-0.046,-0.010,1.009
0.722,-0.064,-0.012,0.991
0.724,-0.053,-0.032,1.000
0.727,-0.030,-0.003,1.001
